Leaf,Variable,Variable_level,Coverage_number,Classification,Coverage_rate,Probability_Readmission
16,SRG_Desc,23 Renal Dialysis,12412,1,0.073545184,0.04793748
16,SRG_Desc,47 Dentistry,12412,1,0.073545184,0.04793748
16,Age,22,12412,1,0.073545184,0.04793748
16,Age,25,12412,1,0.073545184,0.04793748
16,Age,26,12412,1,0.073545184,0.04793748
16,Age,30,12412,1,0.073545184,0.04793748
16,Age,31,12412,1,0.073545184,0.04793748
16,Age,32,12412,1,0.073545184,0.04793748
16,Age,34,12412,1,0.073545184,0.04793748
16,Age,36,12412,1,0.073545184,0.04793748
16,Age,37,12412,1,0.073545184,0.04793748
16,Age,38,12412,1,0.073545184,0.04793748
16,Age,39,12412,1,0.073545184,0.04793748
16,Age,40,12412,1,0.073545184,0.04793748
16,Age,41,12412,1,0.073545184,0.04793748
16,Age,42,12412,1,0.073545184,0.04793748
16,Age,43,12412,1,0.073545184,0.04793748
16,Age,2,12412,1,0.073545184,0.04793748
16,Age,3,12412,1,0.073545184,0.04793748
16,Age,4,12412,1,0.073545184,0.04793748
16,Age,5,12412,1,0.073545184,0.04793748
16,Age,6,12412,1,0.073545184,0.04793748
16,Age,7,12412,1,0.073545184,0.04793748
16,Age,10,12412,1,0.073545184,0.04793748
16,Age,11,12412,1,0.073545184,0.04793748
16,Age,12,12412,1,0.073545184,0.04793748
16,Age,13,12412,1,0.073545184,0.04793748
16,Age,14,12412,1,0.073545184,0.04793748
16,Age,15,12412,1,0.073545184,0.04793748
16,Age,17,12412,1,0.073545184,0.04793748
16,Age,18,12412,1,0.073545184,0.04793748
16,Age,19,12412,1,0.073545184,0.04793748
16,Age,20,12412,1,0.073545184,0.04793748
16,Age,69,12412,1,0.073545184,0.04793748
16,Age,70,12412,1,0.073545184,0.04793748
16,Age,71,12412,1,0.073545184,0.04793748
16,Age,72,12412,1,0.073545184,0.04793748
16,Age,73,12412,1,0.073545184,0.04793748
16,Age,74,12412,1,0.073545184,0.04793748
16,Age,75,12412,1,0.073545184,0.04793748
16,Age,76,12412,1,0.073545184,0.04793748
16,Age,77,12412,1,0.073545184,0.04793748
16,Age,78,12412,1,0.073545184,0.04793748
16,Age,79,12412,1,0.073545184,0.04793748
16,Age,80,12412,1,0.073545184,0.04793748
16,Age,81,12412,1,0.073545184,0.04793748
16,Age,82,12412,1,0.073545184,0.04793748
16,Age,83,12412,1,0.073545184,0.04793748
16,Age,85,12412,1,0.073545184,0.04793748
16,Age,86,12412,1,0.073545184,0.04793748
16,Age,44,12412,1,0.073545184,0.04793748
16,Age,45,12412,1,0.073545184,0.04793748
16,Age,46,12412,1,0.073545184,0.04793748
16,Age,47,12412,1,0.073545184,0.04793748
16,Age,49,12412,1,0.073545184,0.04793748
16,Age,50,12412,1,0.073545184,0.04793748
16,Age,51,12412,1,0.073545184,0.04793748
16,Age,52,12412,1,0.073545184,0.04793748
16,Age,53,12412,1,0.073545184,0.04793748
16,Age,54,12412,1,0.073545184,0.04793748
16,Age,55,12412,1,0.073545184,0.04793748
16,Age,56,12412,1,0.073545184,0.04793748
16,Age,58,12412,1,0.073545184,0.04793748
16,Age,59,12412,1,0.073545184,0.04793748
16,Age,60,12412,1,0.073545184,0.04793748
16,Age,61,12412,1,0.073545184,0.04793748
16,Age,62,12412,1,0.073545184,0.04793748
16,Age,63,12412,1,0.073545184,0.04793748
16,Age,64,12412,1,0.073545184,0.04793748
16,Age,65,12412,1,0.073545184,0.04793748
16,Age,66,12412,1,0.073545184,0.04793748
16,Age,67,12412,1,0.073545184,0.04793748
16,Age,68,12412,1,0.073545184,0.04793748
16,Age,28,12412,1,0.073545184,0.04793748
16,Age,29,12412,1,0.073545184,0.04793748
16,Age,89,12412,1,0.073545184,0.04793748
16,Age,90,12412,1,0.073545184,0.04793748
16,Age,87,12412,1,0.073545184,0.04793748
16,Age,88,12412,1,0.073545184,0.04793748
16,LOS,1,12412,1,0.073545184,0.04793748
16,LOS,4,12412,1,0.073545184,0.04793748
16,LOS,17,12412,1,0.073545184,0.04793748
16,LOS,24,12412,1,0.073545184,0.04793748
16,LOS,26,12412,1,0.073545184,0.04793748
16,LOS,34,12412,1,0.073545184,0.04793748
16,LOS,44,12412,1,0.073545184,0.04793748
16,LOS,54,12412,1,0.073545184,0.04793748
16,LOS,64,12412,1,0.073545184,0.04793748
16,LOS,71,12412,1,0.073545184,0.04793748
16,LOS,187,12412,1,0.073545184,0.04793748
16,LOS,53,12412,1,0.073545184,0.04793748
17,SRG_Desc,47 Dentistry,12,2,7.11E-05,1
17,SRG_Desc,23 Renal Dialysis,12,2,7.11E-05,1
17,Age,70,12,2,7.11E-05,1
17,Age,54,12,2,7.11E-05,1
17,Age,53,12,2,7.11E-05,1
17,Age,81,12,2,7.11E-05,1
17,Age,71,12,2,7.11E-05,1
17,Age,59,12,2,7.11E-05,1
17,Age,67,12,2,7.11E-05,1
17,Age,14,12,2,7.11E-05,1
17,Age,2,12,2,7.11E-05,1
17,Age,72,12,2,7.11E-05,1
17,Age,60,12,2,7.11E-05,1
17,Age,62,12,2,7.11E-05,1
17,Age,66,12,2,7.11E-05,1
17,Age,13,12,2,7.11E-05,1
17,Age,51,12,2,7.11E-05,1
17,Age,15,12,2,7.11E-05,1
17,Age,55,12,2,7.11E-05,1
17,Age,69,12,2,7.11E-05,1
17,Age,3,12,2,7.11E-05,1
17,Age,4,12,2,7.11E-05,1
17,Age,5,12,2,7.11E-05,1
17,Age,6,12,2,7.11E-05,1
17,Age,12,12,2,7.11E-05,1
17,Age,63,12,2,7.11E-05,1
17,Age,64,12,2,7.11E-05,1
17,Age,52,12,2,7.11E-05,1
17,Age,17,12,2,7.11E-05,1
17,Age,79,12,2,7.11E-05,1
17,Age,80,12,2,7.11E-05,1
17,Age,34,12,2,7.11E-05,1
